一	（yi;aa,yi;hh）
丁	（dy;aa,dy;hu）
丂	（kk;ag,kk;hg）
七	（qi;ag,qi;hg）
丆	（pp;ap）
万	（wj;ag,wj;ap,wj;hg,wj;hp）
丈	（vh;ad,vh;hd）
三	（sj;aa,sj;hh）
上	（uh;aa,uh;ba,uh;bh,uh;uh）
下	（xw;ab,xw;ad,xw;hb,xw;hd）
丌	（ji;aa,ji;hu,pp;qi,qi;aa,qi;hu）
不	（bu;ad,bu;ax,bu;hd,bu;hx,fb;ad,fb;ax,fb;hd,fb;hx）
与	（yu;aa,yu;hh,yv;aa,yv;hh）
丏	（mm;ag,mm;hg,oa;hz）
丑	（ib;aa,ib;at,ib;vh,ib;vt）
丒	（ib;ar,ib;hr,ib;ra,ib;rh）
专	（vr;ad,vr;fs,vr;hd）
且	（ju;aa,ju;uh,jv;aa,jv;uh,qx;aa,qx;uh）
丕	（pi;ab,pi;ba,pi;bh）
世	（ui;aa,ui;ca,ui;cv,ui;hv）
丗	（ui;aa,ui;uh）
丘	（qq;ja,qq;jh,qq;pa,qq;ph）
丙	（by;an,by;hn）
业	（ye;aa,ye;uh）
丛	（cs;ac,cs;hc,cs;ra,cs;rh）
东	（ds;ad,ds;hd,ds;qx）
丝	（si;aa,si;hv）
丞	（ig;au,ig;hu,ig;la,ig;lh,oa;zh）
丟	（dq;pq）
丠	（qq;ab,qq;hb）
両	（ld;au,ld;hu）
丢	（dq;pq,dq;ps）
丣	（yb;ak,yb;hk）
两	（ld;ad,ld;hd）
严	（yj;ap,yj;hp,yj;yp）
並	（by;qy）
丧	（oa;hd,sh;ty,sh;uy,sh;yy）
丨	（pp;au,pp;uu）
丩	（jq;aa,jq;vu,pp;jc）
个	（ge;pa,ge;pu,ge;ra,ge;ru）
丫	（ya;ba,ya;bu,ya;da,ya;du）
丬	（pp;jd,pp;pj）
中	（vs;aa,vs;ka,vs;ku,vs;uu）
丮	（ji;yf）
丯	（jx;pa,jx;pu）
丰	（fg;aa,fg;hu,fg;sa,fg;su）
丱	（gr;aa,gr;vu,kd;aa,kd;vu）
串	（ir;aa,ir;uu,ir;vv）
丳	（ij;aa,ij;uu）
临	（ln;ao,ln;do,ln;dr,ln;ur）
丵	（vb;ya,vb;yu,vb;yy）
丶	（pp;dm,vu;dd）
丷	（ba;dp,pp;ba,pp;dm）
丸	（wj;jd,wj;pd）
丹	（dj;pd）
为	（wz;dd）
主	（vu;dw）
丼	（jy;jd）
丽	（li;ad,li;hd）
举	（ju;df,ju;xf,jv;df,jv;xf）
丿	（pp;px）
